Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
DEPARTMENT OF HOMELAND SECURITY,CLIMATE SURVEY SUPPORT SERV...,2/3/2025,"$452,188.00"
DEPARTMENT OF HOMELAND SECURITY,EXPLANATION OF REQUEST/REQU...,2/3/2025,"$5,090.00"
DEPARTMENT OF HOMELAND SECURITY,SUSTAINABILITY AND ENVIRONM...,2/6/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,ANNUAL POLITICO PRO SUBSCRI...,2/6/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,THIS IS FOR THE PURCHASE OF...,2/6/2025,"$109,100.00"
DEPARTMENT OF HOMELAND SECURITY,POLITICOPRO SUBSCRIPTION SE...,2/6/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,POLITICO ONLINE SUBSCRIPTIONS,2/7/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,THE SERVICE OBJECTIVE OF TH...,2/7/2025,"$1,637,708.00"
DEPARTMENT OF HOMELAND SECURITY,OFFICE OF EQUAL RIGHTS ORGA...,2/7/2025,"$1,355,775.00"
DEPARTMENT OF HOMELAND SECURITY,THE SERVICE OBJECTIVE OF TH...,2/7/2025,"$409,255.00"
DEPARTMENT OF HOMELAND SECURITY,"DHS, FEMA FLOOD MITIGATION ...",2/11/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,"DHS, CRCL CASE MANAGEMENT P...",2/11/2025,"$204,634.00"
DEPARTMENT OF HOMELAND SECURITY,"DIVERSITY, EQUITY, INCLUSIO...",2/12/2025,"$5,426,382.00"
DEPARTMENT OF HOMELAND SECURITY,"RESILIENCE, ENERGY, AND SUS...",2/12/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,"RAIO VOICE FOR DIVERSITY, E...",2/12/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,NATIONAL CRITICAL FUNCTION ...,2/12/2025,"$1,326,465.00"
DEPARTMENT OF HOMELAND SECURITY,"DIVERSITY, EQUITY, INCLUSIO...",2/4/2025,"$135,765.00"
DEPARTMENT OF HOMELAND SECURITY,PROGRAM AND TECHNICAL SUPPO...,2/5/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,"VIRTUAL AND IN PERSON, DIVE...",2/6/2025,"$69,050.00"
DEPARTMENT OF HOMELAND SECURITY,THE PURPOSE OF THIS ACTION ...,2/6/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,USCIS OFFICE OF EQUAL OPPOR...,2/12/2025,"$5,113,887.00"
DEPARTMENT OF HOMELAND SECURITY,CBP OFFICE OF TRADE PERFORM...,2/12/2025,"$482,536.00"
DEPARTMENT OF HOMELAND SECURITY,ENERGY AND SUSTAINABILITY A...,2/12/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,CLIMATE RESILIENCE SUPPORT ...,2/12/2025,"$2,716,076.00"
DEPARTMENT OF HOMELAND SECURITY,DEVELOPMENT OF CLIMATE CHAN...,2/12/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,THE PURPOSE OF THIS PR IS T...,2/12/2025,"$2,686,145.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,TRAINING MATERIALS FRANKLIN...,2/11/2025,"$936,315.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,407 USER LICENSING AGREEMEN...,2/11/2025,"$139,194.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,ON-LINE ELECTRONIC POLICY P...,2/11/2025,"$3,087,377.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,POST CLOSING PORTFOLIO MANA...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"AWARENESS, COMMUNICATION, E...",2/11/2025,"$2,749,018.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,SUPPORT TO PROVIDE STANDARD...,2/11/2025,"$3,403,550.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,HUD HANDBOOK 4350.1,2/11/2025,"$984,016.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,OCPO SEEKS THE ASSISTANCE O...,2/11/2025,"$887,127.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,FEDERAL HUMAN CAPITAL COLLA...,2/11/2025,"$49,500.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,OUTWARD MINDSET TM TRAINING...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,ORGANIZATIONAL CULTURE,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,ENTERPRISE-WIDE SOLUTION FO...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,BETTERUP LEADERSHIP LICENSES,2/11/2025,"$1,337,986.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,TO IMPROVE HUD'S STRATEGIC ...,2/11/2025,"$694,235.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,NEGOTIATION AND LABOR CONSU...,2/11/2025,"$873,123.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,TO IMPROVE HUD'S STRATEGIC ...,2/11/2025,"$1,968,874.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,POLITICO PRO TO PROVIDE POL...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,CALL ORDER FOR PURCHASE AND...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,FURNITURE INSTALLATION FOR ...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,FINANCIAL QUALITY CONTROL A...,2/11/2025,"$2,822,896.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,WEBINAR SERVICES FOR PHILAD...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,ONLINE DATABASE SUBSCRIPTIO...,2/11/2025,"$205,432.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,242 PROGRAM FEASIBILITY STU...,2/11/2025,"$247,684.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,MENTAL HEALTH FIRST AID TRA...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,OFFICE OF HOUSING COUNSELIN...,2/11/2025,"$2,425,105.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,MTW COHORT 1,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,BROADBAND ACCESS IN HUD-ASS...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,NEW BPA CALL UNDER HUD SPEC...,2/11/2025,"$127,579.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,NEW BPA CALL UNDER HUD SPEC...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,COMPLETE THE EVALUATION OF ...,2/11/2025,$0.00
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,INNOVATION IN AFFORDABLE HO...,2/11/2025,"$1,173,249.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,PROVIDE AN ONLINE INTERVIEW...,2/11/2025,"$100,008.00"
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,EO14042 PROJECT MANAGEMENT...,2/11/2025,"$837,443.00"
DEPARTMENT OF JUSTICE,"POLITICO PRO PLUS, ONLINE L...",2/7/2025,$0.00
DEPARTMENT OF JUSTICE,FY25 E&E PUBLICATIONS,2/7/2025,$0.00
DEPARTMENT OF JUSTICE,"POLITICO PRO PLUS, ONLINE L...",2/7/2025,$0.00
DEPARTMENT OF JUSTICE,LOGINS TO THE NEW YORK TIME...,2/12/2025,$0.00
DEPARTMENT OF JUSTICE,HISTORIC NEW YORK TIMES AND...,2/12/2025,$0.00
DEPARTMENT OF JUSTICE,SPONSORSHIP,2/13/2025,$0.00
DEPARTMENT OF LABOR,REQUEST FOR A LIMITED SMALL...,1/24/2025,"$7,856,119.00"
DEPARTMENT OF LABOR,THIS REQUIREMENT IS TO PROV...,2/6/2025,"$96,780.00"
DEPARTMENT OF LABOR,NEW PURCHASE ORDER FOR TEAM...,2/7/2025,$0.00
DEPARTMENT OF LABOR,"DIVERSITY, EQUITY, INCLUSIO...",2/7/2025,$0.00
DEPARTMENT OF LABOR,NEW TASK TO BE ESTABLISHED ...,2/7/2025,$0.00
DEPARTMENT OF LABOR,"GENERAL BUSINESS DATABASE, ...",2/14/2025,"$305,897.00"
DEPARTMENT OF LABOR,"TO OBTAIN A 12-MONTH BASE, ...",2/14/2025,"$119,460.00"
DEPARTMENT OF LABOR,DIVERSITY COUNCIL FACILITAT...,1/27/2025,"$19,710.00"
DEPARTMENT OF LABOR,SUBSCRIPTION FOR POLITICO P...,2/6/2025,"$51,950.00"
DEPARTMENT OF LABOR,A UNIQUE FUNCTION IN WASHIN...,2/13/2025,"$24,762.00"
DEPARTMENT OF STATE,ENHANCED MULTIMEDIA CONTENT...,2/5/2025,$2.00
DEPARTMENT OF STATE,DEIA CHAMPIONS PROGRAM HOWA...,2/5/2025,$0.00
DEPARTMENT OF STATE,DEIA TRAIN THE TRAINER WORK...,2/5/2025,$0.00
DEPARTMENT OF STATE,7203.1 LABCO DEIA,2/6/2025,$0.00
DEPARTMENT OF STATE,BSB|FAS| DATAGRO SUBSCRIPTI...,2/12/2025,$0.00
DEPARTMENT OF STATE,MGT. OF SOCIAL MEDIA PAGES,2/13/2025,"$26,134.00"
DEPARTMENT OF STATE,OTHER QC/TEST/INSPECT- MISC...,2/14/2025,"$414,510.00"
DEPARTMENT OF STATE,IT AND TELECOM - BUSINESS A...,2/14/2025,$0.00
DEPARTMENT OF STATE,CULTURAL HERITAGE SUPPORT,1/28/2025,"$1,555,374.00"
DEPARTMENT OF STATE,DEIA CLIMATE SURVEY SERVICES,1/30/2025,"$279,829.00"
DEPARTMENT OF STATE,THIS IS A TASK ORDER FOR PR...,2/5/2025,"$77,674,381.00"
DEPARTMENT OF STATE,GEC PROFESSIONAL SUPPORT SE...,2/5/2025,"$7,002,350.00"
DEPARTMENT OF STATE,ADMINISTRATIVE SERVICES,2/5/2025,"$2,328,634.00"
DEPARTMENT OF STATE,ENR TO BALKANS CLEAN ENERGY,2/5/2025,$0.00
DEPARTMENT OF STATE,PSP BPA CALL 55 UKRAINE CLE...,2/5/2025,$0.00
DEPARTMENT OF STATE,PSP CESI-PACC,2/5/2025,$0.00
DEPARTMENT OF STATE,ENR BPA TO GLOBAL METHANE 2023,2/5/2025,$0.00
DEPARTMENT OF STATE,ENR BPA TO CLEAN HYDROGEN_ ...,2/5/2025,$0.00
DEPARTMENT OF STATE,ONE-YEAR ORDER WITH THE POL...,2/5/2025,$0.00
DEPARTMENT OF STATE,MIDSTREAM DIVERSIFICATION A...,2/5/2025,$0.00
DEPARTMENT OF STATE,PSP BALKANS CLEAN HYDROGEN,2/5/2025,$0.00
DEPARTMENT OF STATE,RENEWABLE ENERGY DEVELOPMEN...,2/5/2025,$0.00
DEPARTMENT OF STATE,AWARD OF THE POLITICO PRO S...,2/5/2025,$0.00
DEPARTMENT OF STATE,ENR BPA TO OFFSHORE BALKANS...,2/5/2025,$0.00
DEPARTMENT OF STATE,GLOBAL OFFSHORE WIND DEVELO...,2/5/2025,$0.00
DEPARTMENT OF STATE,THE ASSOCIATED PRESS AWARD ...,2/5/2025,"$211,617.00"
DEPARTMENT OF STATE,"GOLDBELT C6, LLC PROFESSION...",2/5/2025,"$274,044.00"
DEPARTMENT OF STATE,ENHANCED MULTIMEDIA CONTENT...,2/5/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THIS CONTRACT IS FOR THE PR...,1/31/2025,"$3,251,353.00"
DEPARTMENT OF TRANSPORTATION,PROCURE E&E NEWS PUBLICATIONS,2/11/2025,$0.00
DEPARTMENT OF TRANSPORTATION,DEIA PROGRAM AND PROJECT MA...,2/12/2025,"$1,366,795.00"
DEPARTMENT OF TRANSPORTATION,CORTAP TASK ORDER FY 2025 R...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,SPEED SAFETY CAMERA LOCATIO...,2/5/2025,$0.00
DEPARTMENT OF TRANSPORTATION,GSA FEDERAL SUPPLY SCHEDULE...,2/6/2025,"$15,000,000.00"
DEPARTMENT OF TRANSPORTATION,FIRM FIXED PRICE (FFP)/ TIM...,2/6/2025,"$94,000,000.00"
DEPARTMENT OF TRANSPORTATION,CREATE A NEW DELIVERY TASK ...,2/6/2025,"$394,472.00"
DEPARTMENT OF TRANSPORTATION,PROFESSIONAL SUPPORT SERVIC...,2/6/2025,"$356,376.00"
DEPARTMENT OF TRANSPORTATION,ENVIRONMENTAL IMPACT STATEM...,2/6/2025,"$349,257.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS DELIVER...,2/6/2025,$0.00
DEPARTMENT OF TRANSPORTATION,SUBSCRIPTION SERVICES FOR P...,2/13/2025,$0.00
DEPARTMENT OF TRANSPORTATION,CONSULTING SERVICES FOR ENV...,2/14/2025,"$25,000.00"
DEPARTMENT OF TRANSPORTATION,TO SOLE SOURCE AWARD A BASE...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,"FINANCIAL, BUDGETARY, AND O...",2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,TITLE: COMMUNITY ENHANCED T...,2/14/2025,"$270,195.00"
DEPARTMENT OF TRANSPORTATION,OFFICE OF CIVIL RIGHTS (ACR...,2/14/2025,"$5,592,671.00"
DEPARTMENT OF TRANSPORTATION,THE U.S. DEPARTMENT OF TRAN...,2/14/2025,"$19,392.00"
DEPARTMENT OF TRANSPORTATION,REQUSISTION: THE PURPOSE OF...,2/14/2025,"$445,663.00"
DEPARTMENT OF TRANSPORTATION,FEDERATION OF AMERICAN SCIE...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,ESTABLISH A NEW TASK ORDER ...,2/14/2025,"$872,877.00"
DEPARTMENT OF TRANSPORTATION,BPA CALL: THE PURPOSE OF T...,2/14/2025,"$1,053,588.00"
DEPARTMENT OF TRANSPORTATION,PURCHASE ORDER 693JK424P600...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,NEW BUREAU PROCUREMENT (TIF...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THIS IS A NEW BPA CALL WITH...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS CONTRAC...,2/14/2025,"$1,043,372.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS CONTRAC...,2/14/2025,"$969,468.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS CONTRAC...,2/14/2025,"$215,512.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS CONTRAC...,2/14/2025,"$1,686,078.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS BPA CAL...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,OPTION YEAR 2 FOR SUPPORT S...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,SEE FPDS,2/14/2025,SEE FPDS
DEPARTMENT OF TRANSPORTATION,NEW PURCHASE ORDER FOR THE ...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,A NEW ENERGY AND SUSTAINABI...,2/14/2025,"$363,338.00"
DEPARTMENT OF TRANSPORTATION,PROVIDE DOT OST WITH A FEAS...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,ESTABLISH A PURCHASE ORDER ...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS PURCHAS...,2/14/2025,"$700,000.00"
DEPARTMENT OF TRANSPORTATION,SERJON LLC - TEMP FINANCIAL...,2/14/2025,"$568,600.00"
DEPARTMENT OF TRANSPORTATION,PROFESSIONAL EXECUTIVE LEVE...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,A NEW AWARD FOR THE EXCELLE...,2/14/2025,"$114,000.00"
DEPARTMENT OF TRANSPORTATION,FHWA BPA ORDER FOR HEP MARK...,2/14/2025,"$169,659.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS EFFORT ...,2/14/2025,"$661,500.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS TASK OR...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,NEW TASK ORDER AWARD ENTITL...,2/14/2025,"$54,029.00"
DEPARTMENT OF TRANSPORTATION,BLANKET PURCHASE AGREEMENT ...,2/14/2025,"$884,850.00"
DEPARTMENT OF TRANSPORTATION,"TASK ORDER FOR ""SUPPORT OF ...",2/14/2025,"$458,970.00"
DEPARTMENT OF TRANSPORTATION,THIS IS A NEW AWARD FOR THR...,2/14/2025,"$715,433.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS TASK OR...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,ADVISING SERVICES TO ASSOCI...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,TECHNICAL SERVICES CONTRACT...,2/14/2025,"$37,798.00"
DEPARTMENT OF TRANSPORTATION,ADMINISTRATIVE ANALYST II T...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,SHORTLINE PILOT - DEVELOP A...,2/14/2025,"$34,544.00"
DEPARTMENT OF TRANSPORTATION,SECTOR RISK MANAGEMENT AGEN...,2/14/2025,"$1,715,914.00"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS NEW PUR...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRAT...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS TASK OR...,2/14/2025,$0.00
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS PURCHAS...,2/14/2025,"$118,566.00"
DEPARTMENT OF TREASURY,THE PURPOSE IS FOR OMWI'S S...,1/22/2025,$0.00
DEPARTMENT OF TREASURY,SEE FPDS,1/22/2025,SEE FPDS
DEPARTMENT OF TREASURY,LEADING LEADER'S READINESS ...,1/23/2025,"$2,171,218.00"
DEPARTMENT OF TREASURY,EDI TRANSFORMATION - IMPLEM...,1/22/2025,"$2,323,823.00"
DEPARTMENT OF TREASURY,TRAINING CLASSES FOR PROGRA...,1/23/2025,$0.00
DEPARTMENT OF TREASURY,FY24 FALL TREASURY SCHOLARS...,1/22/2025,$0.00
DEPARTMENT OF TREASURY,TREASURY SCHOLARS PROGRAM S...,1/22/2025,"$6,500,000.00"
DEPARTMENT OF TREASURY,THIS IS A FIRM FIXED PRICE ...,1/22/2025,"$6,500,000.00"
DEPARTMENT OF TREASURY,THIS IS A FIRM FIXED PRICE ...,1/28/2025,"$6,500,000.00"
DEPARTMENT OF TREASURY,OUTWARD INCLUSION DIGITAL W...,1/30/2025,$0.00
DEPARTMENT OF TREASURY,DIVERSITY AND INCLUSION TRA...,1/30/2025,"$811,769.00"
DEPARTMENT OF TREASURY,POLITICO PRO SUBSCRIPTIONS,2/6/2025,"$53,400.00"
DEPARTMENT OF TREASURY,ENTERPRISE DIGITAL ACCESS T...,2/6/2025,$0.00
DEPARTMENT OF TREASURY,BLOOMBERG LAW FOR TAX POLICY,2/6/2025,"$87,544.00"
DEPARTMENT OF TREASURY,BLOOMBERG BGOV,2/6/2025,"$161,111.00"
DEPARTMENT OF TREASURY,BLOOMBERG ELECTRONIC DATABA...,2/6/2025,"$7,156.00"
DEPARTMENT OF TREASURY,BLOOMBERG GOVERNMENT SUBSCR...,2/6/2025,$0.00
DEPARTMENT OF TREASURY,SUBSCRIPTIONS TO THE BUREAU...,2/6/2025,"$183,255.00"
DEPARTMENT OF TREASURY,BLOOMBERG GOVERNMENT SUBSCR...,2/6/2025,"$40,471.00"
DEPARTMENT OF TREASURY,POLITICO PRO SUBSCRIPTIONS,2/6/2025,$0.00
DEPARTMENT OF TREASURY,POLITICOPRO SUBSCRIPTIONS,2/6/2025,"$89,587.00"
DEPARTMENT OF TREASURY,SUBSCRIPTION TO POLITICO PR...,2/6/2025,$0.00
DEPARTMENT OF TREASURY,POLITICO PRO SUBSCRIPTION,2/6/2025,$0.00
DEPARTMENT OF TREASURY,DIVERSITY AND INCLUSION WOR...,2/7/2025,$0.00
DEPARTMENT OF TREASURY,"DIVERSITY, EQUITY, INCLUSIO...",2/7/2025,"$39,532.00"
DEPARTMENT OF TREASURY,BLOOMBERG LAW SUBSCRIPTION,2/7/2025,"$589,276.00"
DEPARTMENT OF TREASURY,BLOOMBERG LAW SUBSCRIPTION,2/7/2025,"$178,732.00"
DEPARTMENT OF TREASURY,SUBSCRIPTION WITH THE NEW Y...,2/10/2025,"$35,738.00"
DEPARTMENT OF TREASURY,RENEWAL OF THE CONFERENCE B...,2/10/2025,"$177,548.00"
DEPARTMENT OF TREASURY,TRAINING CLASSES FOR PROGRA...,2/10/2025,"$7,000,000.00"
DEPARTMENT OF TREASURY,PRINTING SCHOLARS INTERNSHIP,2/10/2025,$0.00
DEPARTMENT OF TREASURY,PRINTING SCHOLARS INTERNSHIP,2/10/2025,$0.00
DEPARTMENT OF TREASURY,NEWSPAPER AND MAGAZINE DELI...,2/11/2025,$0.00
DEPARTMENT OF TREASURY,BPA FOR NEWSPAPER AND MAGAZ...,2/11/2025,$0.00
DEPARTMENT OF TREASURY,BPA SET-UP FOR CLIMATE CORPS,2/12/2025,"$6,900,000.00"
DEPARTMENT OF TREASURY,SOCIAL MEDIA PUBLISHING AND...,2/13/2025,$0.00
DEPARTMENT OF TREASURY,ENTERPRISE PRIVILEGED MEMBE...,2/14/2025,"$357,236.00"
DEPARTMENT OF TREASURY,PURCHASE OF INSTALLATION AN...,1/23/2025,$0.00
DEPARTMENT OF TREASURY,DE-INSTALL DISPOSAL REINST...,1/27/2025,$0.00
DEPARTMENT OF TREASURY,SAS ANNUAL SOFTWARE RENEWAL,1/27/2025,$0.00
DEPARTMENT OF TREASURY,PRINTING SCHOLARS INTERNSHI...,1/24/2025,"$255,613.00"
DEPARTMENT OF TREASURY,EEO INVESTIGATION SERVICES ...,1/23/2025,$0.00
DEPARTMENT OF TREASURY,EEO INVESTIGATION SERVICES ...,1/23/2025,$0.00
DEPARTMENT OF TREASURY,EEO SERVICES CALL ORDER 6,1/23/2025,$0.00
DEPARTMENT OF TREASURY,TREASURY ADMINISTRATIVE SER...,1/24/2025,$0.00
DEPARTMENT OF TREASURY,TREASURY ADMINISTRATIVE SER...,1/24/2025,$0.00
DEPARTMENT OF TREASURY,PROVIDE DIVISION OF DIVERSI...,1/22/2025,$0.00
DEPARTMENT OF TREASURY,OPM RECRUITMENT AND BRANDIN...,1/29/2025,"$1,956,691.00"
DEPARTMENT OF VETERANS AFFAIRS,SWRC & LGBTQ+ DATABASE SUBS...,1/29/2025,"$31,013.00"
DEPARTMENT OF VETERANS AFFAIRS,THE PURPOSE OF THIS AWARD I...,2/7/2025,$0.00
DEPARTMENT OF VETERANS AFFAIRS,CIVIL TREATMENT TRAINING CO...,2/10/2025,$0.00
DEPARTMENT OF VETERANS AFFAIRS,GOVERNMENT PLUS MEMBERSHIP/...,2/10/2025,$0.00
DEPARTMENT OF VETERANS AFFAIRS,HEALTHCARE DATABASE SUBSCRI...,2/11/2025,"$461,736.00"
DEPARTMENT OF VETERANS AFFAIRS,WOMEN'S CLINIC EQUITY BOOST...,1/29/2025,"$175,141.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS SUITE SUBSCRIPTION...,2/5/2025,"$383,931.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS SERVICE SUBSCRIPTI...,2/5/2025,$0.00
DEPARTMENT OF THE INTERIOR,ON-LINE NEWS SUBSCRIPTION,2/5/2025,"$175,486.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS ONLINE PUBLICATION...,2/6/2025,"$51,752.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS DIRECTOR'S OFFICE,2/6/2025,"$24,745.00"
DEPARTMENT OF THE INTERIOR,E & E NEWS,2/6/2025,"$41,730.00"
DEPARTMENT OF THE INTERIOR,SEE FPDS,2/10/2025,SEE FPDS
DEPARTMENT OF THE INTERIOR,NATIONAL PARK SERVICE NPS R...,1/29/2025,"$3,145,324.00"
DEPARTMENT OF THE INTERIOR,DIVERSITY MARKETING SUPPORT...,1/29/2025,$0.00
DEPARTMENT OF THE INTERIOR,THE UNITED STATES DEPARTMEN...,2/3/2025,$0.00
DEPARTMENT OF THE INTERIOR,RACIAL AND ETHNIC DISPARITI...,2/3/2025,$0.00
DEPARTMENT OF THE INTERIOR,USDA FNS BUILDING EQUITY IN...,2/3/2025,$0.00
DEPARTMENT OF THE INTERIOR,GROUNDWATER EXPLORATION AND...,2/5/2025,$0.00
DEPARTMENT OF THE INTERIOR,E&E NEWS SUBSCRIPTION SERVICES,2/5/2025,"$124,940.00"
DEPARTMENT OF THE INTERIOR,ONLINE E-SUBSCRIPTION SERVI...,2/5/2025,"$96,584.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS SUBSCRIPTION TO IN...,2/5/2025,$0.00
DEPARTMENT OF THE INTERIOR,E&E NEWS SUBSCRIPTION RENEWAL,2/5/2025,$0.00
DEPARTMENT OF THE INTERIOR,SEE FPDS,2/5/2025,SEE FPDS
DEPARTMENT OF THE INTERIOR,E&E PUBLISHING SUBSCRIPTION,2/5/2025,"$71,935.00"
DEPARTMENT OF THE INTERIOR,E&E ANNUAL SUBSCRIPTION,2/5/2025,"$96,119.00"
DEPARTMENT OF THE INTERIOR,E&E SUBSCRIPTION SERVICES,2/5/2025,"$92,723.00"
DEPARTMENT OF THE INTERIOR,OBTAIN ONLINE PUBLICATION S...,2/5/2025,"$99,676.00"
DEPARTMENT OF THE INTERIOR,FIRM-FIXED PRICE TASK ORDER...,2/5/2025,"$51,175.00"
DEPARTMENT OF THE INTERIOR,OFFICE OF RESTORATION AND D...,2/5/2025,"$43,175.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS SUBSCRIPTION,2/5/2025,"$25,855.00"
DEPARTMENT OF THE INTERIOR,NR-IOA-55-NEW CONTRACT E&E ...,2/5/2025,"$243,100.00"
DEPARTMENT OF THE INTERIOR,ENVIRONMENTAL AND SUSTAINAB...,2/6/2025,"$445,017.00"
DEPARTMENT OF THE INTERIOR,UNCOMPAHGRE FIELD OFFICE RE...,2/6/2025,"$58,607.00"
DEPARTMENT OF THE INTERIOR,E&E NEWS,2/6/2025,"$109,395.00"
DEPARTMENT OF THE INTERIOR,POLITICO - EMA,2/6/2025,"$194,048.00"
DEPARTMENT OF THE INTERIOR,POLITICO E&E PUBLISHING REN...,2/6/2025,"$125,162.00"
DEPARTMENT OF THE INTERIOR,POLITICO - E&E NEWS AND GR...,2/6/2025,"$64,236.00"
DEPARTMENT OF THE INTERIOR,ONLINE SUBSCRIPTION TO POLI...,2/6/2025,"$42,356.00"
DEPARTMENT OF THE INTERIOR,LEGISLATIVE RESEARCH TOOL,2/6/2025,"$21,575.00"
DEPARTMENT OF THE INTERIOR,"DOI, POB",2/6/2025,"$48,690.00"
DEPARTMENT OF THE INTERIOR,ONLINE SUBSCRIPTION TO POLI...,2/6/2025,$0.00
DEPARTMENT OF THE INTERIOR,PHOENIX AREA OFFICE (PXAO) ...,2/12/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,"DIVERSITY, EQUITY, INCLUSIO...",1/24/2025,"$15,000,000.00"
ENVIRONMENTAL PROTECTION AGENCY,"DIVERSITY, EQUITY, INCLUSIO...",1/24/2025,"$15,000,000.00"
